History_Header,FAK_Charge,SCFI_Charge,SPECIAL_Charge,Container_Types,Notes
POL,POL,POL,POL,,Base column
POD,POD,POD,POD,,Base column
Place,Place of Delivery,PlaceOfDelivery,PlaceOfDelivery,,Base column
Carrier,CARRIER,HPL (default),CARRIER,,HPL fixed for SCFI
Commodity,Commodity,,Commodity,,SCFI has no Commodity
Eff,Effective Date,Effective Date,Effective Date,,Base column
Exp,Expiration Date,Expiration Date,Expiration Date,,Base column
Contract,Contract Identifier,,Contract Identifier,,SCFI has no Contract
Note,Routing note,BLANK,Routing note,,
ALL_IN_20GP,ALL IN COST (20GP),ALL IN COST (20'),Base Ocean Freight (20GP),"20GP,20'",SPECIAL uses Base as All-In
ALL_IN_40GP,ALL IN COST (40GP),ALL IN COST (40'),Base Ocean Freight (40GP),"40GP,40'",
ALL_IN_40HQ,ALL IN COST (40HQ),ALL IN COST (40'HC),Base Ocean Freight (40HQ),"40HQ,40'HC",
ALL_IN_45HQ,ALL IN COST (45'HQ),,Base Ocean Freight (45'HQ),45'HQ,SCFI has no 45HQ
ALL_IN_40NOR,ALL IN COST (40NOR),,Base Ocean Freight (40NOR),40NOR,SCFI has no 40NOR
BASIC_20GP,BASIC O/F (20GP),BASIC O/F (20'),,"20GP,20'",SPECIAL has no Basic
BASIC_40GP,BASIC O/F (40GP),BASIC O/F (40'),,"40GP,40'",
BASIC_40HQ,BASIC O/F (40HQ),BASIC O/F (40'HC),,"40HQ,40'HC",
BASIC_45HQ,BASIC O/F (45'HQ),,,45'HQ,
BASIC_40NOR,BASIC O/F (40NOR),,,40NOR,
ARB_OLF_20GP,ARB/OLF (20GP),,,20GP,FAK only
ARB_OLF_40GP,ARB/OLF (40GP),,,40GP,
ARB_OLF_40HQ,ARB/OLF (40HQ),,,40HQ,
ARB_OLF_45HQ,ARB/OLF (45'HQ),,,45'HQ,
PREMIUM_HDL_20GP,PREMIUM ADD ON/HDL FEE US FOR SOC (20GP),,,20GP,FAK only
PREMIUM_HDL_40GP,PREMIUM ADD ON/HDL FEE US FOR SOC (40GP),,,40GP,
PREMIUM_HDL_40HQ,PREMIUM ADD ON/HDL FEE US FOR SOC (40HQ),,,40HQ,
PREMIUM_HDL_45HQ,PREMIUM ADD ON/HDL FEE US FOR SOC (45'HQ),,,45'HQ,
ISPS_20GP,ISPS/LSF/CMC (20GP),ISPS (20'),,"20GP,20'",FAK uses ISPS/LSF/CMC; SCFI uses ISPS
ISPS_40GP,ISPS/LSF/CMC (40GP),ISPS (40'),,"40GP,40'",
ISPS_40HQ,ISPS/LSF/CMC (40HQ),ISPS (40'HC),,"40HQ,40'HC",
ISPS_45HQ,ISPS/LSF/CMC (45'HQ),,,45'HQ,
OCS_LSS_20GP,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE (20GP),,,20GP,FAK only
OCS_LSS_40GP,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE (40GP),,,40GP,
OCS_LSS_40HQ,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE (40HQ),,,40HQ,
OCS_LSS_45HQ,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE (45'HQ),,,45'HQ,
PSS_PUC_20GP,PSS/PUC (20GP),,,20GP,FAK only
PSS_PUC_40GP,PSS/PUC (40GP),,,40GP,
PSS_PUC_40HQ,PSS/PUC (40HQ),,,40HQ,
PSS_PUC_45HQ,PSS/PUC (45'HQ),,,45'HQ,
GRI_20GP,GRI (20GP),,,20GP,FAK only
GRI_40GP,GRI (40GP),,,40GP,
GRI_40HQ,GRI (40HQ),,,40HQ,
GRI_45HQ,GRI (45'HQ),,,45'HQ,
EIC_EMF_20GP,EIC/GFS/BAF/FDI (20GP),EMF (20'),,"20GP,20'",SCFI EMF maps here; Header becomes EIC/GFS/BAF/FDI/EMF
EIC_EMF_40GP,EIC/GFS/BAF/FDI (40GP),EMF (40'),,"40GP,40'",
EIC_EMF_40HQ,EIC/GFS/BAF/FDI (40HQ),EMF (40'HC),,"40HQ,40'HC",
EIC_EMF_45HQ,EIC/GFS/BAF/FDI (45'HQ),,,45'HQ,
PCS_DLF_20GP,PCS (20GP),DLF (20'),,"20GP,20'",SCFI DLF maps here; Header becomes PCS/DLF
PCS_DLF_40GP,PCS (40GP),DLF (40'),,"40GP,40'",
PCS_DLF_40HQ,PCS (40HQ),DLF (40'HC),,"40HQ,40'HC",
PCS_DLF_45HQ,PCS (45'HQ),,,45'HQ,
PCS_ACS_AGS_20GP,PCS/ACS/AGS (20GP),,,20GP,FAK only
PCS_ACS_AGS_40GP,PCS/ACS/AGS (40GP),,,40GP,
PCS_ACS_AGS_40HQ,PCS/ACS/AGS (40HQ),,,40HQ,
PCS_ACS_AGS_45HQ,PCS/ACS/AGS (45'HQ),,,45'HQ,
GARMENT_20GP,GARMENT ADD ON (20GP),,,20GP,FAK only
GARMENT_40GP,GARMENT ADD ON (40GP),,,40GP,
GARMENT_40HQ,GARMENT ADD ON (40HQ),,,40HQ,
GARMENT_45HQ,GARMENT ADD ON (45'HQ),,,45'HQ,
WHA_BCO_20GP,WHA/BCO/BCD/CFC/EIC (20GP),,,20GP,FAK only
WHA_BCO_40GP,WHA/BCO/BCD/CFC/EIC (40GP),,,40GP,
WHA_BCO_40HQ,WHA/BCO/BCD/CFC/EIC (40HQ),,,40HQ,
WHA_BCO_45HQ,WHA/BCO/BCD/CFC/EIC (45'HQ),,,45'HQ,
HDL_FEE_20GP,HANDLING FEE FOR CARRIER (20GP),,,20GP,FAK only
HDL_FEE_40GP,HANDLING FEE FOR CARRIER (40GP),,,40GP,
HDL_FEE_40HQ,HANDLING FEE FOR CARRIER (40HQ),,,40HQ,
HDL_FEE_45HQ,HANDLING FEE FOR CARRIER (45'HQ),,,45'HQ,
HDL_FEE_40NOR,HANDLING FEE FOR CARRIER (40NOR),,,40NOR,
COMMISSION_20GP,,COMMISSION (20') -> HANDLING FEE,,20',SCFI COMMISSION maps to HDL FEE
COMMISSION_40GP,,COMMISSION (40') -> HANDLING FEE,,40',
COMMISSION_40HQ,,COMMISSION (40'HC) -> HANDLING FEE,,40'HC,
